name,address,website,b_type,phone
Korykos Turkish Restaurant & Meze Bar,"29 Manor Rd, Wallington, SM6 0BW, United Kingdom",http://www.korykosrestaurant.com/,Turkish restaurant,+44 20 8773 1128
Bento Restaurant,"85 Manor Rd, Wallington, SM6 0DE, United Kingdom",https://bentoasia.co.uk/,Asian restaurant,+44 20 8647 0800
Thai Bonanza,"14 Ross Parade, Wallington, SM6 8QG, United Kingdom",https://thai-bonanza.co.uk/,Thai restaurant,+44 20 8773 9275
Wallington Pizzeria,"40-42 Stafford Rd, Wallington, SM6 9AA, United Kingdom",https://www.wallingtonpizzeria.co.uk/,Pizza restaurant,+44 20 8669 9995
The Grange Restaurant,"Beddington Park, London Rd, Wallington SM6 7BT, United Kingdom",https://grangerestaurant.co.uk/,Fusion restaurant,+44 20 8773 8195
Cactus Grill,"15 Woodcote Rd, Wallington, SM6 0LH, United Kingdom",http://cactusgrillbarrestaurant.weebly.com/contact.html,Tex-Mex restaurant,+44 20 8647 5428
Jerk N Jollof Bar N Grill,"37 Manor Rd, Wallington, SM6 0BW, United Kingdom",undefined,Caribbean restaurant,+44 20 8669 3073
"Super Grill, Wallington","142 Stafford Rd, Wallington, SM6 9BS, United Kingdom",http://supergrilluk.com/,Grill,undefined
Mango Lounge!,"114 Stafford Rd, Wallington, SM6 9AY, United Kingdom",http://www.mangoloungewallington.co.uk/,Indian restaurant,+44 20 8669 0015
Taste of Ceylon Wallington,"47 Stafford Rd, Wallington, SM6 9AP, United Kingdom",https://tasteofceylonwallington.co.uk/,Sri Lankan restaurant,+44 20 8616 3536
Hot Grill,"387 Croydon Rd, Wallington, SM6 7NY, United Kingdom",https://hotgrillwallington.co.uk/,Restaurant,+44 20 8773 2877
Our A&B Kitchen,"1A Belmont Rd, Wallington, SM6 8TE, United Kingdom",http://ouraandbkitchen.co.uk/,Takeout restaurant,+44 20 3489 1121
Farmhouse Pizza (Wallington),"131 Stafford Rd, Wallington, SM6 9BN, United Kingdom",https://farmhousepizzawallington.co.uk/,Pizza restaurant,+44 20 8647 7447
Rose & Crown,"London Rd, Wallington, SM6 7HX, United Kingdom",http://roseandcrownwallington.co.uk/,Restaurant,+44 20 8401 0035
Golden Grill Wallington,"112 Manor Rd, Wallington, SM6 0DS, United Kingdom",https://alleatapp.com/menu-golden-grill-wallington-sm6,Kebab shop,+44 20 8647 2899
Nadri,"9 Wallington Square, Wallington, SM6 8TH, United Kingdom",undefined,Korean restaurant,undefined
Hungry Mate Pizzeria Wallington,"Mellows Park, 231 Stafford Rd, Wallington SM6 9BX, United Kingdom",http://www.instagram.com/hungrymatepizzeria,Pizza restaurant,+44 7888 185060
Pizza Project,"231 Stafford Rd, Wallington, SM6 9BX, United Kingdom",http://www.hungrymate.co.uk/,Italian restaurant,+44 7521 727799
Piccolos,"12 Butter Hill, Wallington, Carshalton SM6 7JD, United Kingdom",http://www.piccolospizza.co.uk/,Pizza restaurant,+44 20 8773 0079
Wallington Express,"119 Stafford Rd, Wallington, SM6 9BN, United Kingdom",https://wallingtonexpress.co.uk/,Kebab shop,+44 20 8669 6171
The Red Lion,"Hackbridge Rd, Hackbridge, Wallington SM6 7AX, United Kingdom",http://theredlionwallington.co.uk/,Restaurant,+44 20 8835 2012
KFC Wallington - Woodcote Road,"43 Woodcote Rd, Wallington, SM6 0LR, United Kingdom",https://www.kfc.co.uk/kfc-near-me/wallington-woodcote-road,Fast food restaurant,+44 20 8647 5577
Akash Tandoori,"145 Stafford Rd, Wallington, SM6 9BN, United Kingdom",http://akashtandoori.co.uk/,Bangladeshi restaurant,+44 20 8647 4200
Koleey,"Mollison Square, Wallington, SM6 9DA, United Kingdom",undefined,Fast food restaurant,+44 20 8669 5695
The Wallington Fish Bar,"104 Stafford Rd, Wallington, SM6 9AY, United Kingdom",undefined,Fish and chips takeaway,+44 20 8647 1541
GoGeezy,"185 Stafford Rd, Wallington, SM6 9BT, United Kingdom",http://www.gogeezy.uk/,Asian restaurant,+44 20 8241 7134
Kamble Kitchen,"1 Manor Rd, Wallington, SM6 0BW, United Kingdom",https://pay.yoello.com/v/kamblekitch,Pan-Asian restaurant,+44 20 3062 9932
Wallington Village Fish & Chips - Roundshaw,"3 Mollison Square, Wallington, SM6 9DA, United Kingdom",http://wallingtonvillagefishchips.business.site/,Fish & chips restaurant,+44 20 8669 2958
Spice Hut,"16 Ross Parade, Wallington, SM6 8QG, United Kingdom",https://spicehutonline.com/9bpe,Indian takeaway,+44 20 8647 7060
Kebab Time Wallington,"385 Croydon Rd, Wallington, SM6 7NY, United Kingdom",https://kebabtimeonline.com/,Kebab shop,+44 20 8773 9777
Sushi Gourmet in Sainsbury's Wallington,"Rosemount Towers, Clarendon Rd, Wallington SM6 8RW, United Kingdom",http://www.sushigourmet.co.uk/,Sushi takeaway,+44 20 8773 2379
tandoori night,"187 Stafford Rd, Wallington, SM6 9BT, United Kingdom",undefined,Indian takeaway,+44 20 8669 3433
Asia Tandoori Restaurant,"19 London Rd, Hackbridge, Wallington SM6 7HW, United Kingdom",http://www.asiatandoorirestaurant.co.uk/,Indian restaurant,+44 20 8647 9495
Tuk Tuk Thai Cuisine,"202 Croydon Rd, Beddington, Wallington, Croydon CR0 4PJ, United Kingdom",http://www.tuktukthaicuisine.co.uk/,Thai restaurant,+44 20 8616 5830
Kebab World Wallington,"7, South Parade, Stafford Rd, Wallington SM6 9AJ, United Kingdom",https://kebab-world.com/,Kebab shop,+44 20 8773 8188
Super Pizza,"142 Stafford Rd, Wallington, SM6 9BS, United Kingdom",https://www.superpizza.biz/,Pizza restaurant,+44 20 8103 8618
The Whispering Moon - JD Wetherspoon,"25 Ross Parade, Wallington, SM6 8QF, United Kingdom",https://www.jdwetherspoon.com/pubs/all-pubs/england/london/the-whispering-moon-wallington,Pub,+44 20 8647 7020
Equinox Fish Bar Wallington,"15 Ross Parade, Wallington, SM6 8QG, United Kingdom",http://www.equinoxfishbar.co.uk/,Fish and chips takeaway,+44 20 8669 8448
McDonald's,"Marlowe Wy, Wallington, Croydon, CR0 4XS, United Kingdom",https://www.mcdonalds.com/gb/en-gb.html,Fast food restaurant,+44 20 8665 6433
Kamble House(10% OFF This Week),"1 Manor Rd, Wallington, SM6 0BW, United Kingdom",https://alleatapp.com/menu-kamble-kitchen-sm6,Chinese takeaway,undefined
Manor Fish Bar,"77c Manor Rd, Wallington, SM6 0DE, United Kingdom",undefined,Fish and chips takeaway,+44 20 8669 6136
Jade Dragon,"311 Croydon Rd, Wallington, SM6 7LB, United Kingdom",undefined,Chinese takeaway,+44 20 8395 8450
The Greek Vine Restaurant,"24-25 Ross Parade, Wallington, SM6 8QF, United Kingdom",http://www.thegreekvine.co.uk/,Mediterranean restaurant,+44 20 8669 7272
Favour Chicken Wallington,"50 Stafford Rd, Wallington, SM6 9AY, United Kingdom",undefined,Chicken shop,+44 20 3092 4118
Chicken World Wallington,"30 Woodcote Rd, Wallington, SM6 0NN, United Kingdom",undefined,Chicken shop,+44 20 8773 1300
Fresco,"40 Wallington Square, Wallington, SM6 8RG, United Kingdom",https://www.facebook.com/FrescoGelatoUK/,Coffee shop,+44 20 8296 0289
Chicken Hut Wallington,"387 Croydon Rd, Wallington, CR0 3HP, United Kingdom",undefined,Chicken shop,+44 20 8665 1566
Ya Hao Chinese,"112 Stafford Rd, Wallington, SM6 9AY, United Kingdom",https://yahaochinesetakeawaywallington.co.uk/,Chinese takeaway,+44 20 8647 8608
Subway,"64 Woodcote Rd, Wallington, SM6 0LY, United Kingdom",https://restaurants.subway.com/united-kingdom/en/london/64-woodcote-road,Sandwich shop,+44 20 8773 4116
Henry's,"3 Manor Rd, Wallington, SM6 0BW, United Kingdom",undefined,Restaurant,+44 20 8669 7358
Morley's Wallington,"312 Stafford Rd, Wallington, Croydon CR0 4NH, United Kingdom",https://morleys-fried-chicken-fried-chicken-takeaway.business.site/,Fried chicken takeaway,+44 20 3643 4823
Jhorna Tandoori,"148 London Rd, Hackbridge, Wallington SM6 7HF, United Kingdom",undefined,Indian takeaway,+44 20 8647 1004
Mega Kebabs & Burgers,"152b London Rd, Hackbridge, Wallington SM6 7HQ, United Kingdom",undefined,Kebab shop,+44 20 8669 4333
Cod Bay Traditional Fish & Chips,"171 Stafford Rd, Wallington, SM6 9BT, United Kingdom",https://instagram.com/codbayltd,Fish & chips restaurant,+44 20 8412 8525
Chick'n Lounge,"Unit 3, The Parade, Stafford Rd, Wallington CR0 4NH, United Kingdom",undefined,Chicken restaurant,+44 20 3441 2727
World Kitchen,"145 Stafford Rd, Wallington, SM6 9BN, United Kingdom",undefined,Eclectic restaurant,+44 20 8647 8036
Vani's Biryani,"33 Stafford Rd, Wallington, SM6 9AP, United Kingdom",http://vanisbiryani.co.uk/,Indian takeaway,+44 7405 310208
Mazzi's Cafe,"24 Woodcote Rd, Wallington, SM6 0NN, United Kingdom",https://nirki.pw/mazzi-s-cafe-cqs7cl4,Restaurant,+44 20 8669 7999
Best Charcoal Grill,"322A Stafford Rd, Croydon, CR0 4NH, United Kingdom",https://www.bestcharcoalgrill.co.uk/,Kebab shop,+44 20 8686 4279
Best Dosa,"47 Stafford Rd, Wallington, SM6 9AP, United Kingdom",https://bestdosa.co.uk/,Takeout restaurant,+44 20 8616 3536
Olives Peri Peri,"162 London Rd, Hackbridge, Wallington SM6 7HF, United Kingdom",http://olivesperiperi.com/5u9n,Chicken shop,+44 20 8669 9223
Ginger Frog,"51 Woodcote Rd, Wallington, SM6 0LT, United Kingdom",https://www.facebook.com/gingerfrogwallington/,Cafe,+44 7368 290665
Perfect Kebab,"142 Stafford Rd, Wallington, SM6 9BS, United Kingdom",https://alleatapp.com/menu-perfect-kebab-in-wallington-sm6,Kebab shop,+44 20 8647 3433
Bandon's Sandwich House,"157 Stafford Rd, Wallington, SM6 9BT, United Kingdom",http://www.bandons.co.uk/,Sandwich shop,+44 20 8647 3388
Stack Street Kitchen,"Outside, 185 Mollison Dr, Wallington SM6 9RB, United Kingdom",undefined,Takeout restaurant,+44 7535 558698
Great Chicken,"Unit 3, The Parade, Stafford Rd, Croydon CR0 4NH, United Kingdom",undefined,Chicken shop,undefined
Chase Traditional Fish & Chips,"7 The Parade, Stafford Road, Wallington, SM6 8ND, United Kingdom",undefined,Fish and chips takeaway,+44 20 8688 0097
Matte Black Cafe,"23 Manor Rd, Wallington, SM6 0BW, United Kingdom",https://matteblackpizzaonline.co.uk/,Cafe,+44 20 8669 4888
Delicious House,"8 Ross Parade, Wallington, SM6 8QG, United Kingdom",http://www.delicioushouses.co.uk/,Chinese takeaway,+44 20 8254 9942
Dragon City,"45 Stanley Rd, Wallington, Carshalton, SM5 4LE, United Kingdom",https://www.dragoncitychinese.co.uk/,Chinese takeaway,+44 20 8773 8666
Beddington Kebab,"190 Croydon Rd, Beddington, Wallington, Croydon CR0 4PJ, United Kingdom",https://www.beddingtonkebab.com/,Kebab shop,+44 20 8686 4097
Cafe Del Mar,"48 Stafford Rd, Wallington, SM6 9AY, United Kingdom",undefined,Cafe,+44 20 8773 0773
Fresh Fry,"178 Croydon Rd, Beddington, Wallington, Croydon CR0 4PJ, United Kingdom",undefined,Fish and chips takeaway,+44 20 8681 7356
Taksim Kebab House,"49 Stafford Rd, Wallington, SM6 9AP, United Kingdom",https://www.taksimkebabhouse.co.uk/,Kebab shop,+44 20 8773 4007
Slate & Grain Coffee Lounge at Button House,"6 Spinning Wheel Wy, Hackbridge, Wallington SM6 7DS, United Kingdom",https://www.brioretirement.co.uk/our-communities/button-house-hackbridge/,Restaurant,+44 20 8773 2838
Supa Food - Authentic Jamaican Takeaway,"24A Sandmartin Way, Wallington, SM6 7DF, United Kingdom",undefined,Takeout restaurant,+44 7377 561091
