name,address,website,b_type,phone
Auto Care Carshalton,"101 Wrythe Ln, Sutton, Carshalton SM5 2RR, United Kingdom",https://www.autocarecarshalton.com/,Auto repair shop,+44 20 8401 8484
Banstead Road Garage,"70 Banstead Rd, Sutton, Carshalton SM5 3NL, United Kingdom",http://www.bansteadroadgarage.co.uk/,Auto repair shop,+44 20 8642 2242
Regency Car Centre,"132 Stanley Park Rd, Carshalton, SM5 3JG, United Kingdom",http://regency-car-centre.edan.io/,Car inspection station,+44 20 8669 1996
Cheam Auto Services & Mot,"2A Woodstock Rd, Carshalton, SM5 3DZ, United Kingdom",http://www.cheamautos.co.uk/,Auto repair shop,+44 20 3417 9715
D J Garages,"46 St Andrews Rd, Carshalton, SM5 2DY, United Kingdom",https://www.djgarages.co.uk/,Auto repair shop,+44 20 8669 2344
Arons Auto,"9A Gordon Rd, Carshalton, SM5 3RG, United Kingdom",undefined,Car inspection station,+44 7462 018717
Orchard Garage,"Unit 6, Chantry Court, Plumpton Way, Wrythe Ln, Carshalton SM5 2DG, United Kingdom",https://orchardgarage.co.uk/,Auto repair shop,+44 20 8773 1658
Hines Tony,"48 St Andrews Rd, Carshalton, SM5 2DY, United Kingdom",undefined,Auto repair shop,+44 20 8647 8329
Realdeal Mobile Tyres and Mechanicals Service Ltd,"Green Wrythe Ln, Carshalton, SM5 2DW, United Kingdom",https://www.mobiletyredeals.uk/,Auto repair shop,+44 7399 383589
PD Vehicle Services Ltd,"Unit 3 Soho Mls, London Rd, Hackbridge, Wallington SM6 7HN, United Kingdom",https://www.pdvehicleservices.co.uk/,Auto repair shop,+44 20 8669 1454
The Test Station,"Hackbridge Station Depot, London Rd, Hackbridge, Wallington SM6 7BJ, United Kingdom",http://www.theteststation.co.uk/,Auto repair shop,+44 20 8669 7444
Mobile Jump Start Service Carshalton on the Hill,"45 Alexandra Gardens, Stanley Rd, Carshalton SM5 4LJ, United Kingdom",undefined,Car repair and maintenance service,+44 20 4533 5527
SJC Motors - Accident Repairs & Service Centre,"44 Benhill Ave, Sutton, SM1 4DA, United Kingdom",http://www.sjc-motors.co.uk/,Auto repair shop,+44 20 8715 9999
"G & J Autos Ltd - Car trade, Service and MOT","72 Carshalton Grove, Sutton, SM1 4NB, United Kingdom",http://www.gjautos.co.uk/,Car dealer,+44 20 8241 4444
Mobile Tyres Carshalton,"56 Whitland Rd, Carshalton, SM5 1QU, United Kingdom",http://mts24.uk/,Tire shop,+44 7459 158952
Bradrich,"268 London Rd, Wallington, SM6 7DJ, United Kingdom",https://www.bradrich.co.uk/,Auto body shop,+44 20 8647 6442
JMT Car Bodyshop,"2 Corporation Cottage, Carshalton Rd, Mitcham CR4 4HU, United Kingdom",undefined,Auto body shop,+44 7415 935083
