name,address,website,b_type,phone
Goddess Retreat,"153 Reigate Ave, Sutton, SM1 3JR, United Kingdom",http://widget.treatwell.co.uk/place/goddess-retreat,Beauty salon,+44 7810 522432
Thai Bliss,"75 Stonecot Hill, Sutton, SM3 9HJ, United Kingdom",undefined,Massage spa,+44 20 8644 8467
"Indy Massage & Spa - Deep Tissue, Pregnancy Massage (North Cheam, Sutton)","Bemore studio, 514 London Rd, Sutton SM3 8HW, United Kingdom",http://www.indymassageandspa.co.uk/,Massage therapist,+44 7765 822711
Nattawan Thai Spa Cheam Village,"Nattawan Thai Spa, 21 The Broadway, Cheam, Sutton SM3 8BH, United Kingdom",http://www.nattawancheam.co.uk/,Massage therapist,+44 20 8642 4084
Touch of Paradise,"22 Station Ave, Ewell, Epsom KT19 9UH, United Kingdom",https://www.touchofparadise.co.uk/,Massage spa,+44 7954 185992
Marathon Massage Therapies,"9 Carshalton Grove, Sutton, SM1 4LY, United Kingdom",undefined,Massage therapist,+44 7929 977030
The Rose Spa,"102 Central Rd, Worcester Park, KT4 8HU, United Kingdom",https://www.therosespa.com/,Beauty salon,+44 20 8337 5348
"Enhance Beauty Clinic, Carshalton, Surrey","60 Banstead Rd, Sutton, Carshalton SM5 3NL, United Kingdom",http://www.enhancebeautyclinic.co.uk/,Beauty salon,+44 20 8652 6688
All You Beauty Spa,"Within Jansee Health Spa, 8 The Parade, Beynon Rd, Carshalton SM5 3RL, United Kingdom",http://www.janseehealthspa.com/,Beauty salon,+44 7553 408729
Lavish Hair and Beauty Salon,"2, The Market, Wrythe Ln, Rosehill, Sutton, Carshalton SM5 1AG, United Kingdom",http://www.lavishrosehill.co.uk/,Beauty salon,+44 20 8641 7700
Be More With Toni,"47 Culvers Way, Carshalton, SM5 2LL, United Kingdom",https://bemorewithtoni.co.uk/,Beauty salon,+44 7783 274415
Hair Location,"12, The Market, Wrythe Ln, Sutton, Carshalton SM5 1AG, United Kingdom",http://www.hairlocation.co.uk/,Hairdresser,+44 20 8395 1540
Creative Hair Design,"16 High St, Carshalton, SM5 3AG, United Kingdom",undefined,Hairdresser,+44 20 8669 6515
Boujee Unisex Hairdressers,"396 Green Wrythe Ln, Carshalton, SM5 1JF, United Kingdom",undefined,Hairdresser,+44 20 3441 3550
Seven Hairdressing,"62 Banstead Rd, Sutton, Carshalton SM5 3NL, United Kingdom",http://www.seven-hairdressing.co.uk/,Hairdresser,+44 20 3186 1003
The Beauty Gallery London,"23 West St, Carshalton, SM5 2PT, United Kingdom",https://the-beauty-gallery-london.business.site/,Beauty salon,+44 20 8835 2564
Sinlei's,"109 Wrythe Ln, Sutton, Carshalton SM5 2RR, United Kingdom",https://www.hairsalonsutton.co.uk/,Hairdresser,+44 20 8644 2699
Dua Beauty Lounge,"318 Wrythe Ln, Rosehill, Carshalton SM5 1AF, United Kingdom",http://www.duabeauty.co.uk/,Beauty salon,+44 20 8641 1414
The Hut,"11 Oaks Track, Carshalton, SM5 4AP, United Kingdom",http://www.thehut.london/,Beauty salon,+44 7889 573452
Hair Gallery,"107 Stanley Park Rd, Carshalton, SM5 3JJ, United Kingdom",http://www.hair-gallery.co.uk/,Hairdresser,+44 20 8647 7277
Ranya Hair Salon/Rosehill Cut 4 Kids,"Wrythe Ln, London, SM5 1AF, United Kingdom",http://www.ranyahairsalon.co.uk/,Hairdresser,+44 20 8644 2994
The Crescent Nail & Beauty Bar,"404 Green Wrythe Ln, Carshalton, SM5 1JF, United Kingdom",undefined,Nail salon,+44 20 7998 8710
Bobbys Beauty Academy,"2 Northwood Rd, Carshalton, SM5 3JA, United Kingdom",undefined,Beauty salon,+44 7852 715743
Hollie's Home Beauty,undefined,http://www.hollieshomebeauty.com/,Beauty salon,undefined
Partners,"6 William St, Carshalton, SM5 2RB, United Kingdom",undefined,Hairdresser,+44 20 8647 6286
Cindy Nails,"40 Selby Rd, Carshalton, SM5 1LD, United Kingdom",https://website-872909345427766412174-nailsalon.business.site/,Nail salon,+44 7957 787411
Hair by Livia,"11 Willis Ave, Sutton, SM2 5HS, United Kingdom",http://www.hairbylivia.co.uk/,Hairdresser,+44 7847 703162
