name,address,website,b_type,phone
Charming Beauty Salon,"Canon Court, 95 Manor Rd, Wallington SM6 0AT, United Kingdom",https://charming.me.uk/,Beauty salon,undefined
iGLOW Hair & Beauty,"22 Woodcote Rd, Wallington, SM6 0NN, United Kingdom",http://www.iglowhairandbeauty.com/,Beauty salon,+44 7426 017251
Roxby Hair Design Wallington,"74 Stafford Rd, Wallington, SM6 9AY, United Kingdom",http://www.roxbywallington.com/,Hair salon,+44 20 8669 4447
Maggi's Studio,"77B Manor Rd, Wallington, SM6 0DE, United Kingdom",https://www.maggishair.co.uk/,Hairdresser,+44 20 8647 2796
precious moments beauty salon,"Railway Approach, Wallington, SM6 0DX, United Kingdom",http://preciousmomentsbeautysalon.co.uk/,Beauty salon,+44 20 8773 0800
Touché Hair Wallington,"26 Woodcote Rd, Wallington, SM6 0NN, United Kingdom",http://www.touchehairwallington.co.uk/,Hair salon,+44 20 8669 9324
Nelly Keung Health & Beauty Centre,"The White House, 51B Woodcote Rd, Wallington SM6 0LH, United Kingdom",http://www.nellysbeautyhouse.com/,Beauty salon,+44 20 8647 9101
Union Hairdressing,"52 Demesne Rd, Wallington, SM6 8PP, United Kingdom",http://unionhairdressingsalon.co.uk/,Hairdresser,+44 20 8286 1200
The Flutter Lounge,"77a Manor Rd, Wallington, SM6 0DS, United Kingdom",http://theflutterlounge.co.uk/,Beauty salon,+44 20 3302 7540
Howards Hair Salon,"25 London Rd, Hackbridge, Wallington SM6 7HW, United Kingdom",http://howards-hair-salon.jany.io/,Hairdresser,+44 20 8647 7970
Degenis's Hair Salon,"148 Stafford Rd, Wallington, SM6 9BS, United Kingdom",https://placenearme.org/hairstyles,Hairdresser,+44 20 8647 8224
"Appearances Redefined, The Beauty Salon","33-34 Wallington Square, Wallington, SM6 8RG, United Kingdom",undefined,Beauty salon,+44 7701 373245
Orchid,"1 Woodcote Mews, Wallington, SM6 0JY, United Kingdom",https://www.instagram.com/orchidwallington/,Nail salon,+44 20 3265 0070
Mimosa Nails,"23 Ross Parade, Wallington, SM6 8QG, United Kingdom",https://kubiti.wordpress.com/nail-trends/,Nail salon,+44 20 8669 7598
Capello's,"68 Stafford Rd, Wallington, SM6 9AY, United Kingdom",undefined,Hair salon,+44 7494 177251
Zen Nails,"121 Stafford Rd, Wallington, SM6 9BN, United Kingdom",https://kubiti.com/trend/zen-nails,Nail salon,+44 20 8773 0186
Wallington Nails,"183 Stafford Rd, Wallington, SM6 9BT, United Kingdom",http://www.wallingtonnails.co.uk/,Nail salon,+44 20 8773 0111
