name,address,website,b_type,phone
Wallington Medical Centre,"52 Mollison Dr, Wallington, SM6 9BY, United Kingdom",undefined,Doctor,+44 20 8647 0811
Wallington Health Centre,"Lincoln House, 77a Manor Rd, Wallington SM6 0DE, United Kingdom",http://www.chiropracticsurrey.com/,Chiropractor,+44 20 8669 9969
Wallington Physiotherapy,"Mint House, 6 Stanley Park Rd, Wallington SM6 0EU, United Kingdom",http://www.wallingtonphysio.co.uk/,Physical therapy clinic,+44 20 8773 4567
Jubilee Health Centre East,"6 Stanley Park Rd, Wallington, SM6 0EX, United Kingdom",undefined,Community health centre,undefined
Laura Brittain Skin Health,"Appointment Only, 51 Gomshall Ave, Wallington SM6 8NY, United Kingdom",http://laurabrittainskinhealth.uk/,Skin care clinic,+44 7590 502169
Dr JS Aesthetics,"191 Woodcote Rd, Wallington, SM6 0QQ, United Kingdom",http://drjsaesthetics.co.uk/,Medical clinic,+44 20 3488 4556
Manor Osteopathic Clinic,"74 Manor Rd, Wallington, SM6 0AB, United Kingdom",undefined,Medical clinic,+44 20 8647 2452
Dr J E Munden - Shotfield Medical Practice,"Jubilee Health Centre, Shotfield, Wallington SM6 0HY, United Kingdom",undefined,Doctor,+44 20 8669 7612
Derma Space Clinic,"Avenue Cottage, Medland Cl, Wallington SM6 7BH, United Kingdom",https://dermaspaceclinicltd.com/,Skin care clinic,+44 7821 891395
út az egészséghez,"3, Cheyne Court, Beddington Gardens, Wallington SM6 0HS, United Kingdom",undefined,Mental health service,+44 7479 964348
Warden Hospital of St Mary & Hamilton Almhouses,"St Marys Court, 56 Bute Rd, Wallington SM6 8BU, United Kingdom",undefined,Hospital,+44 20 8647 3559
The Podiatry & Foot Care Clinic,"5 Dower Ave, Wallington, SM6 0RG, United Kingdom",http://www.thepodiatryandfootcareclinic.com/,Podiatrist,+44 7739 415238
Chaing Mr B,"21 Stafford Rd, Wallington, SM6 9AN, United Kingdom",undefined,Dental clinic,+44 20 8647 1049
ALTERMEDIC,"2-4 Woodcote Rd, Wallington, SM6 0NN, United Kingdom",http://www.altermedic.london/,Acupuncture clinic,+44 20 8647 5688
"Jubilee Health Centre East, South West London and St George’s Mental Health NHS Trust","Jubilee Health Centre East, 6 Stanley Park Rd, Wallington SM6 0EX, United Kingdom",undefined,Community health centre,+44 20 3513 4044
My Gym Wallington,"4 Melbourne Rd, Wallington, SM6 8SY, United Kingdom",http://www.mygym.com/wallington,Gymnastics center,+44 7412 957001
The Phoenix Centre,"Mollison Dr, Wallington, SM6 9NZ, United Kingdom",https://www.everyoneactive.com/centre/the-phoenix-centre/,Gym,+44 20 8773 6060
Parkins Personal Training,"Purley Way, Croydon, CR0 4RG, United Kingdom",https://parkinspt.wixsite.com/website,Personal trainer,+44 7376 641306
The Gym Group London Croydon Purley Way,"Unit 6D, Valley Leisure Park, Hesterman Way, Croydon CR0 4YA, United Kingdom",https://www.thegymgroup.com/find-a-gym/south-london-gyms/croydon-purley-way/,Fitness center,+44 300 303 4800
Kings Gym - Croydon,"468 Purley Way, Croydon, CR0 4NZ, United Kingdom",http://www.kingsgyms.com/,Gym,+44 20 3302 4870
Pulse Health & Fitness Carshalton,"Nightingale Rd, Carshalton, SM5 2EJ, United Kingdom",http://www.pulsecarshalton.co.uk/,Gym,+44 20 8254 7940
Aerolatino Fitness UK,"45 Melbourne Rd, SM6, SM6 8SH, United Kingdom",https://www.aerolatino.co.uk/,Fitness center,+44 7766 243669
The Garden Gym,undefined,http://www.thegardengym.fitness/,Personal trainer,+44 7921 935399
Westcroft Leisure Centre,"Westcroft Rd, Carshalton, SM5 2TG, United Kingdom",http://www.everyoneactive.com/centre/Westcroft-Leisure-Centre,Gym,+44 20 8669 8666
Yoga with Ananda,"58 Taylor Rd, Wallington, SM6 0AX, United Kingdom",http://www.yogawithananda.co.uk/,Yoga studio,+44 7794 944281
HYPE Fitness,"First Floor, 78-82 Lind Rd, Sutton SM1 4PL, United Kingdom",http://www.hype-fitness.com/,Fitness center,+44 7893 943207
Move and Breathe Pilates,"Park Hill Rd, Wallington, SM6 0SB, United Kingdom",undefined,Pilates studio,+44 7841 260925
Hayward Fitness,undefined,undefined,Weight loss service,undefined
David Weir Leisure Centre,"Middleton Rd, Carshalton, SM5 1SL, United Kingdom",https://www.everyoneactive.com/centre/david-weir-leisure-centre/,Gym,+44 20 8641 9480
REGEN LONDON,"4-6, The exchange, Scarbrook Rd, Croydon CR0 1UH, United Kingdom",http://regen-london.com/,Gym,+44 20 4547 8425
David Lloyd Purley,"Hannibal Way, Croydon, CR0 4RW, United Kingdom",https://www.davidlloyd.co.uk/clubs/purley,Gym,+44 20 8253 1300
Mum Fit Wonder,undefined,https://mumfitwonder.com/,Personal trainer,+44 7834 066252
The Gym Group London East Croydon,"Suffolk House, 6 George St, Croydon CR0 1PE, United Kingdom",https://www.thegymgroup.com/find-a-gym/south-london-gyms/east-croydon/,Fitness center,+44 300 303 4800
MyPT The Gym,"Sunley House, LGF, 4 Bedford Park, Croydon CR0 2AP, United Kingdom",https://myptthegym.com/,Gym,+44 20 8138 2888
PureGym Purley,"Royal Oak Centre, Brighton Rd, Purley CR8 2PG, United Kingdom",https://www.puregym.com/gyms/purley/,Gym,+44 344 477 0005
Personal Trainer Pete Griggs,"63 Alma Rd, Carshalton, SM5 2PQ, United Kingdom",http://www.petegriggs.com/,Personal trainer,+44 7947 049889
Anytime Fitness,"29 Brighton Rd, Sutton, SM2 5AJ, United Kingdom",http://anytimefitness.co.uk/gyms/UK-0260,Gym,+44 20 8706 0780
The Gym Group London Sutton,"Unit B3 - B5, 291-297 High St, Sutton SM1 1LG, United Kingdom",https://www.thegymgroup.com/find-a-gym/south-london-gyms/london-sutton/,Fitness center,+44 300 303 4800
Welcome Gym Sutton,"Gander Green Ln, Sutton, SM1 2EH, United Kingdom",https://www.welcomegym.co.uk/club/sutton/,Gym,undefined
